,Unnamed: 0,Winery,Wine,Rating,Num_Reviews,Price,Country,Region,Year,Tipo,Zona,Maridaje
40,50,Hoya de Cadenas,Merlot 2021,3.2,275,3.99,España,Utiel-Requena,2021,tinto,Centro (España),"Cordero asado, Queso manchego"
41,53,Marques de Monistrol,Tempranillo - Merlot Penedés Rosé 2023,3.3,52,3.99,España,Penedès,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
42,54,J. Fernando,Barrica 12 Meses Tempranillo 2022,3.7,123,3.99,España,Castilla,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
43,55,Casa del Valle,Chardonnay 2023,3.6,305,4.0,España,Castilla,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
44,56,Ramón Roqueta,Synera Blanco 2023,3.2,862,4.0,España,Cataluña,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
45,57,Ramón Roqueta,Synera Tinto 2023,3.0,1792,4.0,España,Cataluña,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
46,58,El Circo,Zancudo Chardonnay 2023,3.2,462,4.0,España,Cariñena,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
47,60,Bodegas Arraez,Canallas Bobal Rosado 2023,3.7,97,4.0,España,Valencia,2023,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
48,61,Marques de Vitoria,Rioja Rosé 2022,3.7,42,4.01,España,Rioja,2022,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
49,62,Bodegas Faustino,VII Verdejo 2022,3.6,34,4.02,España,Vino de España,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
50,63,Codorníu,Cava Brut Nature Roger de Flor N.V.,3.2,1723,4.03,España,Cava,N.V.,espumoso,Norte (España),"Tortilla de patatas, Piquillos rellenos de marisco"
51,64,Bodega Sommos,Glárima Merlot - Tempranillo 2023,3.5,47,4.05,España,Somontano,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
52,65,Osborne,Solaz Tempranillo - Cabernet Sauvignon 2022,3.7,230,4.05,España,Castilla,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
53,66,Finca Constancia,Altozano Verdejo - Sauvignon Blanc 2020,3.7,239,4.05,España,Castilla,2020,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
54,67,Bodega Sommos,Glárima Blanco 2023,3.6,61,4.05,España,Somontano,2023,blanco,Norte (España),"Mariscos, Merluza a la vasca"
55,68,Félix Solís,Casa Albali Verdejo - Sauvignon Blanc 2023,3.7,3111,4.1,España,Valdepeñas,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
56,69,Félix Solís,Casa Albali Tempranillo - Shiraz 2021,3.6,117,4.1,España,Valdepeñas,2021,tinto,Centro (España),"Cordero asado, Queso manchego"
57,70,Viore,Verdejo 2020,3.4,146,4.1,España,Toro,2020,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
58,71,Félix Solís,Casa Albali Garnacha Rosé 2022,4.1,110,4.1,España,Valdepeñas,2022,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
59,72,Delapierre,Cava Etiqueta Negra Semi-Seco N.V.,3.6,370,4.11,España,Cava,N.V.,espumoso,Norte (España),"Tortilla de patatas, Piquillos rellenos de marisco"
60,74,Delapierre,Cava Etiqueta Negra Brut N.V.,3.4,1618,4.11,España,Cava,N.V.,espumoso,Norte (España),"Tortilla de patatas, Piquillos rellenos de marisco"
61,75,Hoya de Cadenas,Reserva Tempranillo 2020,3.5,464,4.15,España,Utiel-Requena,2020,tinto,Centro (España),"Cordero asado, Queso manchego"
62,76,Bach,Extrísimo Semi Dulce 2022,3.5,5311,4.15,España,Cataluña,2022,dulce,Norte (España),"Queso azul, Tarta de Santiago"
63,78,Bodegas Faustino,VII Tempranillo 2022,3.6,965,4.15,España,Rioja,2022,tinto,Norte (España),"Chuletas de cordero, Chistorra"
64,80,Garcia Pérez,Ancestral Rosado 2021,3.9,26,4.2,España,Castilla,2021,rosado,Centro (España),"Ensalada de tomate y ventresca, Pisto manchego"
65,81,Bodegas Estéban Martín,Vinem Blanco 2022,3.1,186,4.2,España,Cariñena,2022,blanco,Norte (España),"Mariscos, Merluza a la vasca"
66,82,Bodegas Estéban Martín,Vinem Garnacha - Syrah 2023,3.3,2258,4.2,España,Cariñena,2023,tinto,Norte (España),"Chuletas de cordero, Chistorra"
67,84,Bach,Viña Extrísima Rosado 2022,3.6,81,4.2,España,Cataluña,2022,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
68,85,Bodegas Estéban Martín,Vinem Rosado 2022,3.4,36,4.2,España,Cariñena,2022,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
69,86,Bodegas Faustino,VII Bianco 2022,3.6,436,4.2,España,Rioja,2022,blanco,Norte (España),"Mariscos, Merluza a la vasca"
70,87,Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2022,3.6,71,4.2,España,Campo de Borja,2022,tinto,Norte (España),"Chuletas de cordero, Chistorra"
