Winery,Wine,Rating,num_reviews,Price,Country
Altiplà Wines,El Destraler Negre,3.4,213,4.9,
Finca La Estacada,Envejecido 6 Meses En Barrica,3.5,2196,4.93,
Toresanas,Orot,3.6,84,4.95,
Tarón,Tempranillo,3.3,750,4.95,
Bodegas Cosme Palacio,Milflores Rioja Tinto,3.5,125,4.95,
Cellar Vins Algars,Organic Tinto,3.6,81,4.95,
Miedes,Crianza,3.5,215,4.95,
Bodegas Príncipe de Viana,Colección Monovarietales Syrah Roble,3.3,1494,4.95,
Azabache,Crianza,3.2,72,4.95,
Monte Ory,Crianza,3.5,214,4.95,
Marqués de Altillo,Tinto,3.3,1483,4.95,
Viñas del Vero,Roble Cabernet Sauvignon - Merlot Somontano,3.5,37,4.96,
Oliveda,Marrec Tinto,3.3,457,4.99,
Hoya de Cadenas,Reserva Privada,3.5,3304,4.99,
Félix Solís,The Guv’nor,4.0,22508,4.99,
Bodegas Piqueras,Castillo de Almansa Crianza,3.5,1757,4.99,
Bo,Bobal Único,3.6,3853,4.99,
El Miracle,No. 01,3.5,2456,4.99,
René Barbier,Roble,3.2,26,5.0,
Cellers Unió,Roureda Cabernet Sauvignon,3.0,437,5.0,
Bodega Pirineos,Montesierra Red Blend,3.1,1511,5.0,
Ladrón de Lunas,La oBejita Tinta Roble Bobal,3.3,159,5.0,
El Circo,Director Special Selection Garnacha,3.7,230,5.0,
Bodegas Ayuso,Estola Reserva,3.6,39,5.02,
Laus,Tinto Joven,3.4,1256,5.05,
Bodega Pirineos,3404 Tinto,3.8,194,5.05,
Borsao Bodegas,Selección,3.7,346,5.1,
Arnegui,Tempranillo Rioja,3.6,189,5.1,
Canforrales,Crianza Cabernet Sauvignon,3.6,162,5.12,
Bodegas la Eralta,Hacienda El Olmo Crianza,3.9,151,5.12,
Marques de Tomares,J3,3.7,53,5.12,
Bodegas Lagunilla,Crianza,3.6,50,5.14,
Bodegas Aragonesas,Coto De Hayas Crianza,3.6,58,5.14,
Emendis,Cabró! Negre Selecció,3.3,79,5.15,
Monte Toro,3 Añada Selección,3.4,1885,5.15,
Baltasar Gracián,El Politico Garnacha,3.6,1893,5.17,
Sinforiano,Sinfo Viñas Viejas Tinto Roble,3.5,366,5.2,
Borsao Bodegas,Joven (Selección),3.5,39,5.2,
Pago de Larrea,Cæcus,3.7,225,5.2,
Laudum,Roble Monastrell - Syrah,3.7,30,5.23,
Casa de la Ermita,Roble,3.3,622,5.23,
Azabache,Crianza,3.2,72,5.25,
Infinitus,Cabernet Sauvignon,3.1,437,5.25,
Infinitus,Tempranillo,3.2,671,5.25,
Vista Alegre,Crianza,3.7,49,5.25,
Mureda,Oak Aged Syrah,3.2,58,5.25,
Infinitus,Syrah,3.1,916,5.25,
Viñas del Vero,Somontano Tinto,3.4,34,5.25,
Mureda,Merlot,3.4,256,5.25,
Damalisco,Roble,3.6,249,5.26,
Bodegas Aradon,Tinto,3.5,1524,5.28,
Pío del Ramo,Betola The Cat,3.7,185,5.29,
Carlos Serres,Rioja Tempranillo,3.5,6657,5.3,
Raimat,Clamor Tinto,3.5,304,5.3,
Bodegas Olarra,Otoñal Rioja,3.3,2426,5.3,
Bodegas Ochoa,Calendas Tinto,3.7,25,5.3,
Raimat,Clamor Tinto,3.5,98,5.31,
Volver,Madame Bobalu Bobal,3.7,156,5.32,
Marqués de la Concordia,Rioja Santiago Segundo Año,3.8,624,5.35,
Duc de Foix,Cabernet Sauvignon,3.2,379,5.35,
Félix Solís,Mucho Más Tinto,4.2,84741,5.35,
Viñas del Cénit,Villano,3.5,279,5.35,
Clos Pons,Torracollons Tinto,3.5,176,5.35,
Sociedad Agraria de Viticultores,La Transición Garnacha,3.7,151,5.35,
Gran Feudo,Crianza,3.6,145,5.39,
Clos Montblanc,362 Tempranillo - Cabernet,3.5,148,5.4,
Bodegas Aragonesas,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble,3.6,112,5.4,
Familia Torres,Mas Rabell Tempranillo,3.6,64,5.44,
Torremorón,Tempranillo,3.6,3977,5.44,
Bodegas Vallobera,Tinto Rioja,3.4,42,5.45,
Montemar,Garnacha Tinta,3.8,73,5.45,
Los Hermanos Manzanos,Crianza,3.6,1427,5.47,
Finca La Estacada,Ocho y Medio Tinto Velasco,3.6,772,5.47,
Mas Ramoneda,El Pedrol,2.6,56,5.48,
Señorío de Nava,Ribera del Duero Tinto Joven,3.4,1035,5.48,
Dehesa de Luna,Luna Lunera Tempranillo - Syrah,3.7,359,5.49,
Laudum,XII Plus Monastrell,3.7,43,5.49,
Bodegas Valdemar,Conde de Valdemar Tempranillo,3.6,159,5.49,
Freixenet,Mia Tinto,3.5,45,5.5,
Beso de Vino,Garnacha Viñas Viejas,3.5,341,5.5,
Beso de Vino,Syrah - Garnacha,3.5,2968,5.5,
Beso de Vino,Organic Tempranillo,3.3,468,5.5,
Murviedro,Audentia Syrah,3.7,93,5.5,
Federico Paternina,Banda Azul Crianza,3.5,637,5.5,
Valcarlos,Fortius Crianza,3.7,2204,5.51,
Lan,Crianza Rioja,3.8,1269,5.51,
Marqués de la Concordia,Rioja Santiago Segundo Año,3.8,208,5.55,
Bodegas Cosme Palacio,Milflores Rioja Tinto,3.2,279,5.55,
Freixenet,Mia Tinto,3.6,246,5.55,
Valderiz,Valdehermoso Joven,3.7,31,5.59,
Guelbenzu,Vierlas,3.7,41,5.6,
