Region/Country;Product;Variable;Year;Unit;Suma de Quantity
España;Uvas frescas;Importaciones;2022;toneladas; 64 232
España;Uvas frescas;Importaciones;2021;toneladas; 69 700
España;Uvas de mesa;Consumo;2022;toneladas; 92 423
España;Uvas de mesa;Consumo;2014;toneladas; 129 220
España;Uvas pasas;Producción;2013;toneladas;503
España;Vino;Producción;2013;1000 hl; 45 308
España;Uvas frescas;Exportaciones;2014;toneladas; 147 640
España;Uvas de mesa;Consumo;2016;toneladas; 147 940
España;Uvas frescas;Exportaciones;2015;toneladas; 149 151
España;Uvas frescas;Exportaciones;2017;toneladas; 149 583
España;Uvas frescas;Exportaciones;2016;toneladas; 156 743
España;Uvas frescas;Exportaciones;2019;toneladas; 161 394
España;Uvas de mesa;Consumo;2015;toneladas; 165 728
España;Uvas de mesa;Consumo;2018;toneladas; 165 904
España;Uvas frescas;Exportaciones;2018;toneladas; 175 378
España;Uvas de mesa;Consumo;2017;toneladas; 184 246
España;Uvas de mesa;Consumo;2021;toneladas; 188 138
España;Uvas frescas;Exportaciones;2022;toneladas; 190 496
España;Uvas de mesa;Consumo;2020;toneladas; 192 394
España;Uvas frescas;Exportaciones;2020;toneladas; 199 748
España;Uvas frescas;Exportaciones;2021;toneladas; 200 739
España;Uvas de mesa;Consumo;2019;toneladas; 228 594
España;Uvas de mesa;Producción;2014;toneladas; 233 000
España;Uvas de mesa;Producción;2013;toneladas; 250 500
España;Uvas de mesa;Producción;2017;toneladas; 266 223
España;Uvas de mesa;Producción;2016;toneladas; 271 637
España;Uvas de mesa;Producción;2018;toneladas; 272 796
España;Uvas de mesa;Producción;2015;toneladas; 280 700
España;Uvas de mesa;Producción;2022;toneladas; 292 394
España;Uvas de mesa;Producción;2020;toneladas; 297 763
España;Uvas de mesa;Producción;2021;toneladas; 307 496
España;Uvas de mesa;Producción;2019;toneladas; 331 458
España;Viñedo;Superficie;2023;ha; 945 061
España;Viñedo;Superficie;2022;ha; 954 724
España;Viñedo;Superficie;2020;ha; 961 096
España;Viñedo;Superficie;2021;ha; 962 531
España;Viñedo;Superficie;2019;ha; 966 442
España;Viñedo;Superficie;2017;ha; 968 100
España;Viñedo;Superficie;2018;ha; 971 585
España;Uvas frescas;Producción;2013;toneladas;7 382 426
España;Viñedo;Superficie;2015;ha; 974 428
España;Viñedo;Superficie;2014;ha; 974 869
España;Viñedo;Superficie;2016;ha; 975 270
España;Uvas frescas;Producción;2017;toneladas;5 038 038
España;Uvas frescas;Producción;2021;toneladas;5 265 000
España;Uvas frescas;Producción;2019;toneladas;5 423 703
España;Uvas frescas;Producción;2022;toneladas;5 966 094
España;Uvas frescas;Producción;2015;toneladas;6 011 852
España;Uvas frescas;Producción;2014;toneladas;6 145 752
España;Uvas frescas;Producción;2016;toneladas;6 319 470
España;Uvas frescas;Producción;2020;toneladas;6 495 377
España;Uvas frescas;Producción;2018;toneladas;6 868 269
España;Viñedo;Superficie;2013;ha; 973 004
